"","citrus.fruit","semi.finished.bread","margarine","ready.soups"
"3991","rolls/buns","bottled water","soda","canned beer"
"3992","shopping bags","","",""
"3993","sausage","citrus fruit","pip fruit","whole milk"
"3994","cream cheese ","tidbits","domestic eggs","pastry"
"3995","sugar","fruit/vegetable juice","chocolate","chocolate marshmallow"
"3996","finished products","misc. beverages","",""
"3997","whole milk","frozen meals","rolls/buns","margarine"
"3998","curd","yogurt","",""
"3999","coffee","fruit/vegetable juice","",""
"4000","tropical fruit","herbs","whole milk","yogurt"
"4001","whipped/sour cream","soda","",""
"4002","soda","","",""
"4003","whole milk","curd","brown bread",""
"4004","bottled beer","","",""
"4005","oil","","",""
"4006","hamburger meat","tropical fruit","",""
"4007","yogurt","rolls/buns","meat spreads","soda"
"4008","pork","citrus fruit","",""
"4009","frankfurter","pip fruit","root vegetables","other vegetables"
"4010","whole milk","soft cheese","cream cheese ","frozen vegetables"
"4011","salt","specialty fat","sugar","jam"
"4012","canned fish","coffee","fruit/vegetable juice","long life bakery product"
"4013","waffles","chocolate","shopping bags",""
"4014","sausage","soda","liquor (appetizer)","shopping bags"
"4015","canned beer","","",""
"4016","frankfurter","root vegetables","whole milk","frozen vegetables"
"4017","coffee","soda","long life bakery product","napkins"
"4018","house keeping products","newspapers","shopping bags",""
"4019","beef","citrus fruit","whole milk",""
"4020","yogurt","UHT-milk","rolls/buns","candles"
"4021","long life bakery product","","",""
"4022","other vegetables","butter","yogurt","rolls/buns"
"4023","pastry","margarine","",""
"4024","pastry","","",""
"4025","sausage","citrus fruit","whole milk","yogurt"
"4026","beverages","pasta","waffles","specialty chocolate"
"4027","canned beer","","",""
"4028","sausage","citrus fruit","other vegetables","hard cheese"
"4029","cream cheese ","frozen dessert","artif. sweetener","coffee"
"4030","cling film/bags","newspapers","",""
"4031","canned beer","","",""
"4032","finished products","soda","specialty chocolate",""
"4033","other vegetables","whole milk","yogurt","specialty cheese"
"4034","bottled water","misc. beverages","fruit/vegetable juice",""
"4035","pork","other vegetables","rolls/buns",""
"4036","beef","root vegetables","other vegetables","whole milk"
"4037","domestic eggs","hygiene articles","",""
"4038","specialty bar","","",""
"4039","canned beer","","",""
"4040","bottled beer","","",""
"4041","ham","citrus fruit","root vegetables","whipped/sour cream"
"4042","canned beer","napkins","",""
"4043","tropical fruit","whole milk","",""
"4044","chicken","sugar","photo/film",""
"4045","pork","hamburger meat","pip fruit","herbs"
"4046","other vegetables","whole milk","butter","sliced cheese"
"4047","processed cheese","rolls/buns","pastry","roll products "
"4048","margarine","","",""
"4049","yogurt","","",""
"4050","chicken","other vegetables","bottled water","chewing gum"
"4051","softener","","",""
"4052","sausage","ham","pip fruit","whole milk"
"4053","butter milk","yogurt","hard cheese","spread cheese"
"4054","rolls/buns","pastry","margarine","salty snack"
"4055","shopping bags","","",""
"4056","hard cheese","white bread","brown bread",""
"4057","long life bakery product","","",""
"4058","chicken","","",""
"4059","frankfurter","beef","citrus fruit","whole milk"
"4060","rolls/buns","semi-finished bread","coffee","bottled beer"
"4061","pastry","mustard","bottled beer",""
"4062","shopping bags","","",""
"4063","tropical fruit","rolls/buns","pastry",""
"4064","frozen meals","rolls/buns","bottled beer",""
"4065","whole milk","","",""
"4066","pork","sugar","newspapers",""
"4067","hamburger meat","pip fruit","whole milk","hard cheese"
"4068","chocolate","","",""
"4069","other vegetables","pastry","candy","napkins"
"4070","domestic eggs","rolls/buns","",""
"4071","hamburger meat","hard cheese","frozen vegetables","soda"
"4072","berries","root vegetables","whole milk","curd"
"4073","frozen fish","domestic eggs","rolls/buns",""
"4074","pastry","soda","",""
"4075","sausage","yogurt","rolls/buns","soda"
"4076","frozen vegetables","","",""
"4077","dessert","rolls/buns","sugar","bottled water"
"4078","pip fruit","whole milk","domestic eggs",""
"4079","liver loaf","beef","onions","specialty chocolate"
"4080","napkins","shopping bags","",""
"4081","root vegetables","whole milk","rolls/buns","specialty chocolate"
"4082","root vegetables","yogurt","pastry",""
"4083","other vegetables","rolls/buns","soda",""
"4084","chicken","pip fruit","whole milk","pastry"
"4085","coffee","","",""
"4086","rolls/buns","","",""
"4087","butter milk","canned fish","",""
"4088","butter milk","soft cheese","rolls/buns",""
"4089","onions","other vegetables","specialty cheese",""
"4090","ham","hamburger meat","other vegetables","whole milk"
"4091","curd","mayonnaise","domestic eggs","rolls/buns"
"4092","margarine","","",""
"4093","coffee","","",""
"4094","chicken","other vegetables","whole milk","yogurt"
"4095","frozen vegetables","coffee","bottled beer","red/blush wine"
"4096","whole milk","curd","dessert","shopping bags"
"4097","frankfurter","hamburger meat","tropical fruit","root vegetables"
"4098","domestic eggs","Instant food products","detergent",""
"4099","citrus fruit","pip fruit","whole milk","curd"
"4100","whipped/sour cream","bottled water","bottled beer","specialty chocolate"
"4101","shopping bags","","",""
"4102","tropical fruit","whole milk","cat food","popcorn"
"4103","specialty bar","","",""
"4104","citrus fruit","other vegetables","butter","brown bread"
"4105","baking powder","bottled water","soda",""
"4106","whole milk","","",""
"4107","canned beer","","",""
"4108","canned beer","","",""
"4109","citrus fruit","rolls/buns","pastry","soda"
"4110","pot plants","shopping bags","",""
"4111","chicken","onions","other vegetables","whole milk"
"4112","frozen fish","brown bread","soda","white wine"
"4113","canned beer","","",""
"4114","sugar","bottled water","white wine",""
"4115","pork","tropical fruit","whole milk","curd"
"4116","frozen meals","domestic eggs","margarine","pickled vegetables"
"4117","soda","bottled beer","pot plants",""
"4118","rolls/buns","soda","waffles","chewing gum"
"4119","whole milk","frozen vegetables","rolls/buns","pastry"
"4120","kitchen towels","newspapers","",""
"4121","rolls/buns","brown bread","fruit/vegetable juice","newspapers"
"4122","mayonnaise","rolls/buns","",""
"4123","rolls/buns","","",""
"4124","pork","frozen vegetables","pastry","misc. beverages"
"4125","citrus fruit","other vegetables","whole milk","flour"
"4126","beverages","","",""
"4127","napkins","","",""
"4128","canned beer","","",""
"4129","soda","chewing gum","newspapers","photo/film"
"4130","bottled beer","liquor (appetizer)","dishes",""
"4131","sausage","pork","beef","hamburger meat"
"4132","grapes","root vegetables","other vegetables","dessert"
"4133","rolls/buns","dog food","napkins",""
"4134","sausage","bottled beer","dish cleaner",""
"4135","rolls/buns","canned beer","",""
"4136","tropical fruit","grapes","UHT-milk","pickled vegetables"
"4137","jam","coffee","salty snack",""
"4138","frankfurter","pork","root vegetables","whole milk"
"4139","yogurt","frozen fish","soda",""
"4140","sausage","citrus fruit","berries","other vegetables"
"4141","hard cheese","rolls/buns","bottled water",""
"4142","sausage","butter milk","rolls/buns","bottled water"
"4143","soda","canned beer","shopping bags",""
"4144","whole milk","rolls/buns","",""
"4145","root vegetables","herbs","whole milk","butter milk"
"4146","cream cheese ","waffles","napkins","newspapers"
"4147","sausage","rolls/buns","brandy",""
"4148","root vegetables","other vegetables","whole milk","butter"
"4149","mustard","bottled water","flower (seeds)",""
"4150","tropical fruit","candy","",""
"4151","hamburger meat","fruit/vegetable juice","canned beer","white wine"
"4152","meat","whole milk","yogurt","soda"
"4153","male cosmetics","","",""
"4154","soda","","",""
"4155","frankfurter","white bread","margarine","shopping bags"
"4156","other vegetables","","",""
"4157","whole milk","fruit/vegetable juice","",""
"4158","pastry","newspapers","",""
"4159","canned beer","salty snack","",""
"4160","canned beer","","",""
"4161","condensed milk","coffee","",""
"4162","ham","citrus fruit","tropical fruit","whole milk"
"4163","yogurt","whipped/sour cream","soda",""
"4164","cream cheese ","","",""
"4165","pork","root vegetables","onions","other vegetables"
"4166","margarine","sugar","spices",""
"4167","pastry","soda","",""
"4168","citrus fruit","pip fruit","root vegetables","onions"
"4169","herbs","other vegetables","whole milk","butter"
"4170","processed cheese","frozen vegetables","bottled water","red/blush wine"
"4171","long life bakery product","chocolate","rubbing alcohol","hygiene articles"
"4172","napkins","","",""
"4173","meat","finished products","white bread","long life bakery product"
"4174","shopping bags","","",""
"4175","soda","fruit/vegetable juice","specialty bar",""
"4176","yogurt","cream cheese ","rolls/buns","chocolate"
"4177","whipped/sour cream","domestic eggs","margarine",""
"4178","sausage","other vegetables","yogurt","bottled water"
"4179","soda","canned beer","shopping bags",""
"4180","canned beer","","",""
"4181","root vegetables","other vegetables","photo/film",""
"4182","pastry","soda","",""
"4183","rolls/buns","coffee","red/blush wine","chewing gum"
"4184","rolls/buns","","",""
"4185","frankfurter","sausage","pip fruit","other vegetables"
"4186","rolls/buns","sweet spreads","chocolate",""
"4187","sausage","yogurt","rolls/buns","pastry"
"4188","dog food","soda","",""
"4189","liquor","","",""
"4190","yogurt","rolls/buns","",""
"4191","frankfurter","rolls/buns","brown bread","shopping bags"
"4192","ham","pork","other vegetables","whole milk"
"4193","frozen vegetables","rolls/buns","rum",""
"4194","chocolate","","",""
"4195","bottled beer","newspapers","",""
"4196","chicken","citrus fruit","tropical fruit","other vegetables"
"4197","whole milk","whipped/sour cream","rolls/buns","pastry"
"4198","flour","specialty chocolate","",""
"4199","specialty cheese","hygiene articles","newspapers","shopping bags"
"4200","frankfurter","sausage","citrus fruit","root vegetables"
"4201","other vegetables","whole milk","yogurt","whipped/sour cream"
"4202","frozen vegetables","white bread","brown bread","pasta"
"4203","vinegar","soda","salty snack","detergent"
"4204","pip fruit","bottled beer","",""
"4205","canned beer","","",""
"4206","pork","other vegetables","soda",""
"4207","canned beer","","",""
"4208","beef","root vegetables","other vegetables","whole milk"
"4209","dessert","yogurt","rolls/buns","margarine"
"4210","jam","soda","liquor (appetizer)","waffles"
"4211","chocolate marshmallow","candy","bathroom cleaner","light bulbs"
"4212","rolls/buns","pastry","",""
"4213","dental care","male cosmetics","",""
"4214","sausage","turkey","beef","citrus fruit"
"4215","herbs","flour","margarine","Instant food products"
"4216","bottled water","","",""
"4217","rolls/buns","soda","",""
"4218","whole milk","pastry","soda",""
"4219","beef","tropical fruit","root vegetables","whole milk"
"4220","ham","whole milk","domestic eggs","tea"
"4221","bottled water","bottled beer","",""
"4222","finished products","chicken","pork","beef"
"4223","hamburger meat","berries","butter","domestic eggs"
"4224","rolls/buns","brown bread","pastry","flour"
"4225","Instant food products","soda","salty snack","chocolate"
"4226","specialty chocolate","hygiene articles","flower (seeds)",""
"4227","dessert","beverages","ice cream","soda"
"4228","rolls/buns","bottled water","bottled beer",""
"4229","sausage","liver loaf","misc. beverages","fruit/vegetable juice"
"4230","canned beer","salty snack","shopping bags",""
"4231","citrus fruit","soda","misc. beverages","canned beer"
"4232","chocolate","specialty chocolate","candy","shopping bags"
"4233","whole milk","frozen vegetables","",""
"4234","whole milk","curd","margarine",""
"4235","sausage","yogurt","cream",""
"4236","root vegetables","whole milk","oil","mustard"
"4237","fruit/vegetable juice","waffles","dishes","shopping bags"
"4238","organic sausage","rolls/buns","",""
"4239","pork","tropical fruit","other vegetables","coffee"
"4240","shopping bags","","",""
"4241","dessert","yogurt","rolls/buns","meat spreads"
"4242","bottled water","soda","chocolate","shopping bags"
"4243","canned beer","","",""
"4244","citrus fruit","root vegetables","other vegetables","whipped/sour cream"
"4245","processed cheese","rolls/buns","newspapers",""
"4246","hamburger meat","root vegetables","frozen vegetables","rolls/buns"
"4247","brown bread","margarine","soda","fruit/vegetable juice"
"4248","white wine","kitchen towels","newspapers",""
"4249","citrus fruit","tropical fruit","pip fruit","grapes"
"4250","berries","root vegetables","other vegetables","beverages"
"4251","Instant food products","long life bakery product","",""
"4252","other vegetables","","",""
"4253","canned beer","","",""
"4254","rolls/buns","canned fruit","",""
"4255","ham","other vegetables","condensed milk","domestic eggs"
"4256","salty snack","","",""
"4257","beverages","waffles","",""
"4258","whole milk","brown bread","pastry",""
"4259","canned beer","","",""
"4260","frankfurter","sausage","whole milk","margarine"
"4261","sauces","chocolate","",""
"4262","whole milk","frozen dessert","margarine","snack products"
"4263","citrus fruit","","",""
"4264","frankfurter","pork","herbs","other vegetables"
"4265","butter","rolls/buns","",""
"4266","frankfurter","sausage","other vegetables","whole milk"
"4267","butter","curd","dessert","yogurt"
"4268","brown bread","pastry","waffles","chocolate"
"4269","dishes","","",""
"4270","yogurt","beverages","bottled beer","dishes"
"4271","whipped/sour cream","condensed milk","domestic eggs","flour"
"4272","oil","sugar","",""
"4273","candy","","",""
"4274","frankfurter","rolls/buns","",""
"4275","chicken","beef","pip fruit","berries"
"4276","other vegetables","whole milk","whipped/sour cream","frozen fruits"
"4277","frozen meals","domestic eggs","salty snack",""
"4278","sausage","rolls/buns","",""
"4279","brown bread","","",""
"4280","pip fruit","other vegetables","whole milk","whipped/sour cream"
"4281","coffee","","",""
"4282","bottled water","long life bakery product","",""
"4283","chicken","UHT-milk","frozen vegetables","ice cream"
"4284","pickled vegetables","bottled beer","newspapers","shopping bags"
"4285","sausage","tropical fruit","other vegetables","butter"
"4286","sliced cheese","domestic eggs","rolls/buns","brown bread"
"4287","napkins","","",""
"4288","chicken","pork","butter","candles"
"4289","pork","yogurt","beverages","frozen vegetables"
"4290","frozen meals","rolls/buns","potato products","bottled beer"
"4291","chocolate marshmallow","kitchen towels","",""
"4292","ham","rolls/buns","soda","shopping bags"
"4293","citrus fruit","root vegetables","domestic eggs","margarine"
"4294","dishes","","",""
"4295","rolls/buns","pastry","pasta","soda"
"4296","fruit/vegetable juice","specialty chocolate","",""
"4297","tropical fruit","nuts/prunes","whole milk","whipped/sour cream"
"4298","waffles","newspapers","",""
"4299","other vegetables","whole milk","whipped/sour cream","condensed milk"
"4300","rolls/buns","shopping bags","",""
"4301","other vegetables","white bread","newspapers",""
"4302","photo/film","","",""
"4303","pork","tropical fruit","root vegetables","whipped/sour cream"
"4304","UHT-milk","frozen vegetables","roll products ","oil"
"4305","bottled water","candy","",""
"4306","pastry","sugar","mustard","chewing gum"
"4307","shopping bags","","",""
"4308","frankfurter","","",""
"4309","rolls/buns","soda","",""
"4310","berries","cookware","flower (seeds)",""
"4311","photo/film","shopping bags","",""
"4312","photo/film","","",""
"4313","whole milk","butter","curd","frozen vegetables"
"4314","bottled water","bottled beer","detergent","pot plants"
"4315","shopping bags","","",""
"4316","waffles","","",""
"4317","sausage","sliced cheese","cream cheese ","candy"
"4318","shopping bags","","",""
"4319","hamburger meat","other vegetables","margarine","sugar"
"4320","baking powder","sweet spreads","fruit/vegetable juice","chewing gum"
"4321","specialty bar","","",""
"4322","canned beer","","",""
"4323","other vegetables","specialty cheese","",""
"4324","chicken","whole milk","frozen vegetables","brown bread"
"4325","sugar","dog food","",""
"4326","ice cream","chewing gum","",""
"4327","pork","tropical fruit","root vegetables","herbs"
"4328","whole milk","butter","domestic eggs","rolls/buns"
"4329","baking powder","bottled water","rum","salty snack"
"4330","chocolate","hygiene articles","",""
"4331","citrus fruit","pip fruit","other vegetables","whole milk"
"4332","butter","yogurt","salt",""
"4333","frozen meals","pastry","pasta",""
"4334","ham","meat","chicken","tropical fruit"
"4335","berries","soft cheese","specialty cheese","long life bakery product"
"4336","flower (seeds)","","",""
"4337","hamburger meat","hard cheese","pasta","canned vegetables"
"4338","soda","misc. beverages","sparkling wine","chewing gum"
"4339","specialty chocolate","shopping bags","",""
"4340","frankfurter","root vegetables","",""
"4341","canned beer","","",""
"4342","frozen meals","soda","shopping bags",""
"4343","whole milk","","",""
"4344","misc. beverages","","",""
"4345","canned beer","","",""
"4346","root vegetables","","",""
"4347","sausage","onions","",""
"4348","canned beer","male cosmetics","",""
"4349","tropical fruit","onions","spread cheese","coffee"
"4350","canned beer","liquor (appetizer)","red/blush wine","dental care"
"4351","light bulbs","newspapers","",""
"4352","pastry","soda","",""
"4353","sausage","ham","dessert",""
"4354","canned beer","","",""
"4355","soda","","",""
"4356","canned beer","newspapers","",""
"4357","cat food","waffles","",""
"4358","sausage","meat","pork","root vegetables"
"4359","other vegetables","sliced cheese","margarine","cat food"
"4360","coffee","dental care","",""
"4361","bottled water","soda","",""
"4362","soda","chocolate","",""
"4363","rolls/buns","","",""
"4364","pork","","",""
"4365","frozen meals","","",""
"4366","soda","","",""
"4367","pastry","soda","",""
"4368","shopping bags","","",""
"4369","brown bread","bottled water","",""
"4370","yogurt","","",""
"4371","bottled beer","","",""
"4372","pip fruit","whole milk","rolls/buns","pickled vegetables"
"4373","waffles","","",""
"4374","hamburger meat","other vegetables","frozen vegetables","frozen meals"
"4375","cat food","fruit/vegetable juice","",""
"4376","long life bakery product","pot plants","",""
"4377","ham","whipped/sour cream","beverages","domestic eggs"
"4378","fruit/vegetable juice","","",""
"4379","butter","napkins","",""
"4380","whole milk","seasonal products","shopping bags",""
"4381","dessert","","",""
"4382","photo/film","","",""
"4383","bags","","",""
"4384","rolls/buns","brown bread","",""
"4385","brown bread","bottled water","soda","fruit/vegetable juice"
"4386","bottled beer","newspapers","photo/film",""
"4387","beef","root vegetables","other vegetables","margarine"
"4388","salty snack","waffles","specialty chocolate","kitchen towels"
"4389","newspapers","","",""
"4390","dessert","soft cheese","rolls/buns",""
"4391","misc. beverages","","",""
"4392","sugar","","",""
"4393","sausage","rolls/buns","soda","chocolate"
"4394","whole milk","canned fish","newspapers",""
"4395","sausage","finished products","beverages","domestic eggs"
"4396","pastry","salty snack","",""
"4397","canned beer","","",""
"4398","citrus fruit","tropical fruit","frozen meals","frozen dessert"
"4399","rolls/buns","misc. beverages","",""
"4400","sausage","bottled beer","liquor","red/blush wine"
"4401","whole milk","newspapers","",""
"4402","pip fruit","whole milk","pastry","waffles"
"4403","cake bar","specialty bar","shopping bags",""
"4404","frankfurter","bottled beer","",""
"4405","citrus fruit","whole milk","",""
"4406","misc. beverages","","",""
"4407","frankfurter","beef","brown bread","margarine"
"4408","soda","candy","",""
"4409","chocolate","napkins","",""
"4410","ham","tropical fruit","pip fruit","grapes"
"4411","berries","other vegetables","curd","dessert"
"4412","yogurt","rolls/buns","margarine","honey"
"4413","specialty chocolate","detergent","napkins","cling film/bags"
"4414","frankfurter","brown bread","bottled beer",""
"4415","brown bread","","",""
"4416","rolls/buns","white bread","waffles",""
"4417","pip fruit","zwieback","salty snack","cake bar"
"4418","specialty bar","","",""
"4419","sausage","root vegetables","whole milk","rolls/buns"
"4420","brown bread","margarine","soda","long life bakery product"
"4421","cake bar","","",""
"4422","root vegetables","whole milk","rolls/buns",""
"4423","pork","brown bread","salt","liquor"
"4424","shopping bags","","",""
"4425","whole milk","yogurt","rolls/buns","waffles"
"4426","specialty bar","","",""
"4427","beverages","","",""
"4428","tropical fruit","domestic eggs","newspapers",""
"4429","specialty chocolate","","",""
"4430","pastry","","",""
"4431","cat food","","",""
"4432","chicken","citrus fruit","root vegetables","other vegetables"
"4433","beverages","ice cream","rice","Instant food products"
"4434","sweet spreads","canned fish","soda","fruit/vegetable juice"
"4435","red/blush wine","newspapers","shopping bags",""
"4436","bottled beer","liquor","red/blush wine",""
"4437","whipped/sour cream","candy","",""
"4438","long life bakery product","","",""
"4439","beef","root vegetables","white wine","shopping bags"
"4440","salty snack","","",""
"4441","other vegetables","soda","specialty bar",""
"4442","meat","citrus fruit","root vegetables","whole milk"
"4443","dessert","yogurt","waffles","detergent"
"4444","fish","rolls/buns","pot plants",""
"4445","whole milk","sliced cheese","long life bakery product","candy"
"4446","hair spray","","",""
"4447","detergent","","",""
"4448","hamburger meat","photo/film","",""
"4449","whole milk","dessert","yogurt","sliced cheese"
"4450","rolls/buns","soda","seasonal products",""
"4451","beef","","",""
"4452","frozen meals","bottled beer","",""
"4453","pip fruit","yogurt","",""
"4454","yogurt","frozen vegetables","decalcifier",""
"4455","rolls/buns","","",""
"4456","whole milk","frozen meals","pasta","candy"
"4457","ham","frozen meals","rolls/buns","canned fish"
"4458","coffee","instant coffee","",""
"4459","frozen meals","","",""
"4460","ice cream","canned fruit","canned beer","shopping bags"
"4461","pork","frozen potato products","rolls/buns","margarine"
"4462","coffee","female sanitary products","",""
"4463","chewing gum","","",""
"4464","tropical fruit","root vegetables","other vegetables","butter"
"4465","dessert","sliced cheese","frozen vegetables","ice cream"
"4466","frozen dessert","rolls/buns","Instant food products","baking powder"
"4467","canned fish","fruit/vegetable juice","newspapers","shopping bags"
"4468","whole milk","pastry","sugar","soda"
"4469","hygiene articles","","",""
"4470","whole milk","cereals","",""
"4471","bottled water","soda","",""
"4472","sausage","whole milk","rolls/buns",""
"4473","whole milk","napkins","",""
"4474","whole milk","","",""
"4475","whole milk","specialty bar","",""
"4476","pork","tropical fruit","white bread","soda"
"4477","bottled beer","","",""
"4478","curd","","",""
"4479","dessert","frozen potato products","specialty chocolate",""
"4480","waffles","","",""
"4481","onions","other vegetables","spread cheese","misc. beverages"
"4482","misc. beverages","canned beer","",""
"4483","shopping bags","","",""
"4484","white wine","","",""
"4485","frankfurter","curd","semi-finished bread",""
"4486","white bread","canned beer","",""
"4487","pork","beef","other vegetables","curd"
"4488","whipped/sour cream","specialty cheese","dental care","shopping bags"
"4489","other vegetables","whole milk","",""
"4490","pork","","",""
"4491","berries","salt","organic products","cat food"
"4492","soda","bottled beer","female sanitary products",""
"4493","frankfurter","root vegetables","bottled beer","shopping bags"
"4494","root vegetables","whole milk","hard cheese","candy"
"4495","finished products","pip fruit","frozen potato products","soda"
"4496","bottled water","misc. beverages","bottled beer",""
"4497","margarine","coffee","instant coffee","soda"
"4498","canned beer","","",""
"4499","soda","shopping bags","",""
"4500","hamburger meat","whole milk","canned vegetables","soda"
"4501","root vegetables","onions","other vegetables","whole milk"
"4502","curd","yogurt","frozen fish","waffles"
"4503","root vegetables","onions","other vegetables","curd"
"4504","whipped/sour cream","pickled vegetables","specialty vegetables",""
"4505","soda","","",""
"4506","canned beer","","",""
"4507","frozen fish","","",""
"4508","beverages","","",""
"4509","pip fruit","","",""
"4510","pot plants","","",""
"4511","pork","whole milk","",""
"4512","fruit/vegetable juice","","",""
"4513","fruit/vegetable juice","","",""
"4514","fruit/vegetable juice","salty snack","",""
"4515","tropical fruit","","",""
"4516","yogurt","misc. beverages","",""
"4517","canned beer","","",""
"4518","canned beer","","",""
"4519","cream cheese ","rolls/buns","candy","shopping bags"
"4520","bottled water","","",""
"4521","sausage","hamburger meat","citrus fruit","other vegetables"
"4522","dessert","yogurt","frozen meals","frozen potato products"
"4523","white bread","fruit/vegetable juice","long life bakery product","chocolate"
"4524","candy","house keeping products","",""
"4525","soda","bottled beer","liquor","red/blush wine"
"4526","newspapers","","",""
"4527","whole milk","beverages","",""
"4528","pot plants","","",""
"4529","yogurt","hard cheese","sugar","bottled beer"
"4530","roll products ","misc. beverages","",""
"4531","soft cheese","","",""
"4532","frozen meals","","",""
"4533","ice cream","","",""
"4534","frankfurter","pork","tropical fruit","whole milk"
"4535","whipped/sour cream","frozen vegetables","frozen fish","margarine"
"4536","newspapers","","",""
"4537","meat","turkey","tropical fruit","root vegetables"
"4538","onions","other vegetables","whole milk","butter"
"4539","yogurt","whipped/sour cream","sliced cheese","hard cheese"
"4540","frozen meals","frozen dessert","domestic eggs","white bread"
"4541","salt","rice","oil","margarine"
"4542","mustard","baking powder","dog food","bottled water"
"4543","fruit/vegetable juice","rum","long life bakery product","chocolate"
"4544","cooking chocolate","","",""
"4545","soda","","",""
"4546","butter milk","pastry","",""
"4547","frozen potato products","rolls/buns","oil","bottled water"
"4548","canned beer","hygiene articles","napkins",""
"4549","other vegetables","margarine","coffee","canned beer"
"4550","flower (seeds)","","",""
"4551","frankfurter","pork","whole milk","pastry"
"4552","soda","","",""
"4553","misc. beverages","salty snack","",""
"4554","sausage","UHT-milk","",""
"4555","butter","yogurt","rolls/buns","detergent"
"4556","shopping bags","","",""
"4557","frankfurter","pork","beef","hamburger meat"
"4558","other vegetables","whole milk","butter","curd"
"4559","yogurt","whipped/sour cream","cream cheese ","frozen vegetables"
"4560","domestic eggs","rolls/buns","sugar","mustard"
"4561","ketchup","meat spreads","canned fish","bottled beer"
"4562","chewing gum","decalcifier","hygiene articles",""
"4563","bottled water","","",""
"4564","kitchen towels","","",""
"4565","other vegetables","whole milk","bottled water","soda"
"4566","fruit/vegetable juice","salty snack","dental care","newspapers"
"4567","butter","ice cream","margarine","soda"
"4568","sausage","whole milk","domestic eggs","rolls/buns"
"4569","fruit/vegetable juice","light bulbs","",""
"4570","frankfurter","pork","pip fruit","root vegetables"
"4571","other vegetables","whole milk","butter milk","yogurt"
"4572","cream cheese ","rolls/buns","brown bread","soda"
"4573","liver loaf","root vegetables","other vegetables","whole milk"
"4574","frozen vegetables","white wine","",""
"4575","white wine","","",""
"4576","frankfurter","tropical fruit","root vegetables","whole milk"
"4577","curd","dessert","frozen vegetables","pastry"
"4578","instant coffee","tea","newspapers",""
"4579","meat","","",""
"4580","canned beer","","",""
"4581","chicken","soda","liquor","white wine"
"4582","shopping bags","","",""
"4583","other vegetables","hard cheese","processed cheese","cereals"
"4584","pickled vegetables","long life bakery product","specialty chocolate",""
"4585","pip fruit","whole milk","dessert","butter milk"
"4586","rolls/buns","cereals","",""
"4587","other vegetables","whole milk","processed cheese","white bread"
"4588","soda","newspapers","",""
"4589","yogurt","frozen vegetables","",""
"4590","root vegetables","whole milk","rolls/buns",""
"4591","shopping bags","","",""
"4592","UHT-milk","bottled water","soda",""
"4593","whole milk","dessert","butter milk",""
"4594","hamburger meat","pip fruit","other vegetables","whole milk"
"4595","yogurt","cream cheese ","margarine","sugar"
"4596","baking powder","meat spreads","bottled water","chewing gum"
"4597","frozen vegetables","bottled beer","",""
"4598","root vegetables","other vegetables","whole milk","butter"
"4599","dessert","frozen meals","frozen fish","rice"
"4600","bottled water","fruit/vegetable juice","long life bakery product","chocolate"
"4601","sausage","other vegetables","whole milk","butter"
"4602","cat food","salty snack","long life bakery product","waffles"
"4603","chocolate","","",""
"4604","whole milk","rolls/buns","salty snack","chocolate"
"4605","newspapers","","",""
"4606","beef","hamburger meat","tropical fruit","root vegetables"
"4607","onions","other vegetables","whole milk","butter"
"4608","yogurt","whipped/sour cream","sliced cheese","mayonnaise"
"4609","frozen vegetables","frozen potato products","rolls/buns","white bread"
"4610","rice","oil","specialty fat","specialty vegetables"
"4611","canned fish","coffee","instant coffee","bottled beer"
"4612","liquor (appetizer)","long life bakery product","chocolate","napkins"
"4613","house keeping products","","",""
"4614","sausage","meat","whole milk","rolls/buns"
"4615","bottled beer","","",""
"4616","pork","beef","packaged fruit/vegetables","pastry"
"4617","bottled beer","","",""
"4618","salty snack","female sanitary products","",""
"4619","bottled beer","","",""
"4620","soda","skin care","",""
"4621","bottled water","","",""
"4622","frankfurter","other vegetables","mustard","soda"
"4623","napkins","light bulbs","",""
"4624","tropical fruit","other vegetables","whole milk","yogurt"
"4625","rolls/buns","baking powder","long life bakery product","chocolate"
"4626","newspapers","","",""
"4627","canned beer","","",""
"4628","chicken","citrus fruit","curd","yogurt"
"4629","domestic eggs","rolls/buns","spices","bottled water"
"4630","waffles","chocolate","shopping bags",""
"4631","citrus fruit","tropical fruit","ice cream",""
"4632","curd","","",""
"4633","citrus fruit","tropical fruit","other vegetables","whole milk"
"4634","butter","whipped/sour cream","domestic eggs","sugar"
"4635","salty snack","long life bakery product","napkins","shopping bags"
"4636","citrus fruit","tropical fruit","brown bread","napkins"
"4637","other vegetables","soda","bottled beer",""
"4638","bottled water","soda","waffles",""
"4639","chicken","root vegetables","onions","other vegetables"
"4640","frozen vegetables","cake bar","",""
"4641","waffles","","",""
"4642","curd","cake bar","",""
"4643","oil","","",""
"4644","berries","root vegetables","herbs","other vegetables"
"4645","whole milk","curd","cream cheese ","cereals"
"4646","long life bakery product","waffles","shopping bags",""
"4647","frankfurter","hamburger meat","whole milk","cream cheese "
"4648","salty snack","","",""
"4649","pork","beef","frozen vegetables","frozen meals"
"4650","potato products","margarine","napkins","cookware"
"4651","tropical fruit","root vegetables","whole milk","rolls/buns"
"4652","bottled water","napkins","dishes",""
"4653","frankfurter","meat","whole milk","roll products "
"4654","flour","pickled vegetables","bottled beer","napkins"
"4655","shopping bags","","",""
